text,label,category
실천항목: 수영 1시간 완수하기,0,건강
미루던 일 하나 해결 시작하기,2,생산성
목표: 갈등 중인 관계 먼저 화해 완료하기,3,관계
갓생 미션: 충동적 반응 줄이기 완수하기,1,마음챙김
오늘 해야 할 일: 체중 관리 일지 작성,0,건강
오늘 하루 잘한 일 3가지 떠올리기,1,마음챙김
자기 자신에게 친절하게 대하기 시작하기,1,마음챙김
챌린지: 이웃에게 인사하기 꼭 하기,3,관계
목표: 멀티태스킹 줄이기 지키기,2,생산성
오늘 해야 할 일: 온라인 코딩 1시간 공부 도전!,4,자기성장
몸의 긴장 풀기,1,마음챙김
오늘의 미션: 친구의 고민 들어주기 도전!,3,관계
갓생 미션: 주 3회 근력 운동 해내기,0,건강
오늘 해야 할 일: 소모임 만들기 완수하기,3,관계
하루 한 가지: 생산성 앱 세팅 도전!,2,생산성
챌린지: 조용히 차 한 잔 마시며 쉬기 시작하기,1,마음챙김
하루 한 가지: 온라인 강의 1강 수강 지키기,4,자기성장
다짐: 몸의 긴장 풀기 완수하기,1,마음챙김
오늘의 미션: 홈트레이닝 30분 꼭 하기,0,건강
다짐: 배움 일지 작성 실천하기,4,자기성장
챌린지: 서로 다른 점 이해하고 수용하기 꼭 하기,3,관계
갓생 미션: 눈 건강을 위해 20분마다 휴식 지키기,0,건강
자기 자신에게 친절하게 대하기,1,마음챙김
오늘의 미션: 경청 연습하기 도전!,3,관계
오늘 해야 할 일: 프로젝트 진행 상황 점검 지키기,2,생산성
다짐: 실패 경험에서 배움 찾기 시작하기,4,자기성장
반복 작업 체크리스트화,2,생산성
오늘의 미션: 불필요한 미팅 줄이기 꼭 하기,2,생산성
챌린지: 새 언어 앱 30분 연습,4,자기성장
챌린지: 오늘 배운 것 노트에 기록,4,자기성장
실천항목: 매일 1% 성장 실천 실천하기,4,자기성장
목표: 균형 잡힌 영양소 섭취 완료하기,0,건강
디지털 디톡스 1시간,1,마음챙김
챌린지: 저나트륨 식단 지키기 해내기,0,건강
오늘 해야 할 일: 포모도로 기법 4세트 실행 완료하기,2,생산성
챌린지: 무언가 한 가지에만 집중하기 시작하기,1,마음챙김
챌린지: 스마트폰 사용 2시간 줄이기 해내기,1,마음챙김
다짐: 디지털 파일 정리 꼭 하기,2,생산성
하루 한 가지: 타인에게 친절 베풀기 완수하기,3,관계
오늘 해야 할 일: 멀티태스킹 줄이기 실천하기,2,생산성
마음의 짐 내려놓기,1,마음챙김
챌린지: 캔들 켜고 독서하기 시작하기,1,마음챙김
블로그 글 한 편 쓰기 지키기,4,자기성장
오늘 해야 할 일: 선물 준비하기 지키기,3,관계
